user,label
Train_30437,0
Train_03762,1
Train_09926,0
Train_40526,0
Train_09381,0
Train_02530,0
Train_23567,1
Train_33410,0
Train_00221,1
Train_01007,0
Train_12497,1
Train_41163,0
Train_30833,1
Train_19412,1
Train_39868,0
Train_16974,1
Train_24974,0
Train_33905,1
Train_30639,0
Train_38226,1
Train_32325,0
Train_07314,0
Train_17019,0
Train_00991,0
Train_03359,0
Train_16071,1
Train_47308,0
Train_41161,0
Train_12359,0
Train_40625,0
Train_30278,1
Train_30597,0
Train_45497,0
Train_43095,1
Train_20553,1
Train_12963,0
Train_46906,0
Train_35159,0
Train_14722,0
Train_37253,0
Train_39609,0
Train_14166,0
Train_37827,1
Train_35914,0
Train_16730,0
Train_19979,0
Train_43748,0
Train_36023,1
Train_15309,0
Train_16976,0
Train_24830,0
Train_28364,0
Train_33477,0
Train_12946,1
Train_34681,0
Train_05302,0
Train_01484,0
Train_23460,1
Train_39166,1
Train_17337,0
Train_26424,1
Train_09090,1
Train_34177,1
Train_28933,0
Train_40739,1
Train_14742,1
Train_13714,0
Train_42686,0
Train_16568,0
Train_06343,1
Train_44930,0
Train_47237,0
Train_07961,0
Train_02921,0
Train_38056,0
Train_38903,1
Train_33749,0
Train_33849,0
Train_09542,0
Train_19798,0
Train_19478,0
Train_03606,0
Train_12943,0
Train_08235,0
Train_22404,1
Train_27619,0
Train_29393,0
Train_34151,0
Train_12606,1
Train_36703,0
Train_16394,0
Train_40892,1
Train_40779,0
Train_17498,0
Train_03342,0
Train_31829,0
Train_42001,0
Train_30714,1
Train_19788,1
Train_41912,0
Train_12371,0
Train_00588,0
Train_08817,1
Train_40284,0
Train_36213,1
Train_16919,1
Train_20833,0
Train_01664,0
Train_22708,1
Train_27249,0
Train_45366,0
Train_29782,1
Train_46948,0
Train_21795,1
Train_46366,0
Train_24615,0
Train_46160,0
Train_13913,0
Train_23361,0
Train_38308,1
Train_02119,0
Train_22410,0
Train_31185,1
Train_02133,1
Train_07338,1
Train_08079,0
Train_12688,0
Train_10478,0
Train_33169,0
Train_42271,0
Train_14365,0
Train_21391,1
Train_18555,0
Train_00307,1
Train_28256,0
Train_29651,1
Train_26329,0
Train_43063,0
Train_31160,1
Train_08565,0
Train_08729,0
Train_04029,0
Train_34328,0
Train_04855,0
Train_45289,1
Train_12395,1
Train_27806,0
Train_32317,0
Train_46907,0
Train_27173,1
Train_34086,0
Train_37301,1
Train_35505,1
Train_27531,0
Train_28874,0
Train_13410,0
